document_id,user_id,viewed_at,document_title,course_name,university_name,category_id,category_name,premium,rating,pages,word_count,ID,Name,Last Name,Passport Number
9738742,8469118,2020-11-30 22:59:56,Sosiale medier - 2. time,Sosiale medier,Handelshøyskolen BI,3,Lecture notes,0,0,1,151,1,Jacob,Edwards,1903155229
2042372,13198098,2020-11-30 22:59:52,Bedriften-kortsvarsspørsmål,Bedriften,Handelshøyskolen BI,7,Summaries,1,50,23,9551,2,Felicia,Smith,1466748063
3653898,11182794,2020-11-30 22:59:41,Sammendrag-i-markedsføring,Markedsføring-grunnkurs,Norges teknisk-naturvitenskapelige universitet,3,Lecture notes,0,1,107,37572,3,Erin,Parker,4864835140
7968789,13004670,2020-11-30 22:59:37,"Dydsetikk og abort, Hursthouse",Examen philosophicum,Universitetet i Oslo,8,Mandatory assignments,1,3,6,929,4,Morgan,Mcguire,1837181476
2036442,12525936,2020-11-30 22:59:30,Kortsvar-bedriften - Sammendrag Bedriften,Bedriften,Handelshøyskolen BI,7,Summaries,1,228,21,5567,5,Lisa,Erickson,5567324499
2033377,8489174,2020-11-30 22:59:14,Formelark bedøk og finans,Bedriftsøkonomi og finans,Handelshøyskolen BI,7,Summaries,1,85,5,609,6,Lauren,Contreras,6780177786
9616409,8489174,2020-11-30 22:58:57,Eksamen finansiell styring vår 2020,Finansiell styring,Handelshøyskolen BI,4,Past exams,0,1,8,0,7,Sheri,Buchanan,5450031482
6557598,13206642,2020-11-30 22:58:44,Eksamensbesvarelse ExPhil - Karakter A,Examen philosophicum,Universitetet i Oslo,4,Past exams,1,5,8,1964,8,Emily,Arias,5785555488
5518584,8489174,2020-11-30 22:58:43,Kom i gang - kalkulator,Finansiell styring,Handelshøyskolen BI,3,Lecture notes,1,1,3,490,9,Michael,Jones,5903186555
5613297,12027106,2020-11-30 22:58:40,Introduksjon Bedriften,Bedriften,Handelshøyskolen BI,3,Lecture notes,0,2,3,602,10,William,Evans,7059345524
2074307,10113876,2020-11-30 22:58:33,Personalomsorg - Notater knyttet til læringsmål og tidligere eksamensoppgaver i faget. Notatene,Personalpsykologi,Universitetet i Bergen,7,Summaries,0,0,8,2171,11,Francisco,Dunn,6882455634
10269398,10956188,2020-11-30 22:58:32,Kopi Analyse av Karen,Norsk,Videregående skole (VG),3,Lecture notes,0,0,3,1194,12,Brian,Williams,5062275091
4261801,11601338,2020-11-30 22:58:27,Kortsvarsspørsmål – Bedriften,Bedriften,Handelshøyskolen BI,8,Mandatory assignments,1,22,51,14802,13,Richard,Price,775118229
3325166,13083920,2020-11-30 22:58:21,"Vangen, Exphil - Karakter: B",Examen philosophicum,Universitetet i Oslo,10,Essays,1,5,10,2752,14,Brian,Casey,6277677954
10307187,13205250,2020-11-30 22:58:19,STV1400 øvningsark - :-),Offentlig politikk og administrasjon 1 (innføringsemne),Universitetet i Oslo,7,Summaries,1,2,40,11558,15,Michelle,Joyce,462293407
6509611,13180236,2020-11-30 22:58:12,Bedriften kortsvars oppgavene,Bedriften,Handelshøyskolen BI,7,Summaries,0,0,31,11477,16,Kristen,Mcdaniel,7964432271
